iter	Passed	Remaining
351	4036	7431
352	4042	7409
353	4049	7389
354	4057	7372
355	4065	7355
356	4072	7335
357	4078	7314
358	4088	7299
359	4095	7280
360	4105	7267
361	4111	7246
362	4120	7230
363	4134	7223
364	4141	7204
365	4174	7230
366	4191	7228
367	4199	7212
368	4209	7198
369	4218	7183
370	4232	7175
371	4238	7155
372	4246	7137
373	4254	7121
374	4262	7104
375	4269	7084
376	4276	7067
377	4286	7053
378	4294	7036
379	4301	7017
380	4313	7007
381	4321	6991
382	4332	6978
383	4342	6965
384	4351	6950
385	4360	6936
386	4367	6917
387	4375	6902
388	4383	6884
389	4397	6878
390	4406	6863
391	4414	6847
392	4428	6840
393	4440	6829
394	4454	6823
395	4464	6808
396	4473	6795
397	4489	6791
398	4505	6786
399	4515	6773
400	4528	6764
401	4544	6760
402	4559	6754
403	4587	6768
404	4632	6805
405	4662	6821
406	4677	6815
407	4686	6799
408	4699	6791
409	4714	6784
410	4729	6777
411	4740	6765
412	4750	6751
413	4762	6740
414	4770	6724
415	4780	6711
416	4789	6695
417	4794	6676
418	4803	6660
419	4809	6641
420	4817	6625
421	4824	6608
422	4831	6590
423	4839	6573
424	4845	6555
425	4853	6539
426	4860	6523
427	4871	6510
428	4877	6492
429	4885	6476
430	4894	6461
431	4902	6446
432	4908	6428
433	4917	6412
434	4924	6396
435	4934	6383
436	4942	6367
437	4949	6351
438	4973	6355
439	4984	6344
440	4991	6327
441	5003	6316
442	5012	6302
443	5023	6290
444	5034	6279
445	5044	6266
446	5053	6252
447	5065	6241
448	5072	6225
449	5082	6212
450	5097	6205
451	5113	6199
452	5122	6186
453	5139	6181
454	5149	6168
455	5211	6217
456	5227	6211
457	5249	6212
458	5299	6246
459	5311	6235
460	5322	6222
461	5345	6225
462	5360	6217
463	5376	6211
464	5393	6205
465	5404	6192
466	5416	6181
467	5433	6176
468	5439	6159
469	5448	6143
470	5455	6126
471	5463	6111
472	5469	6093
473	5477	6078
474	5487	6064
475	5498	6052
476	5504	6035
477	5519	6027
478	5526	6011
479	5533	5994
480	5542	5980
481	5554	5969
482	5566	5958
483	5579	5948
484	5609	5956
485	5629	5953
486	5636	5937
487	5648	5926
488	5660	5914
489	5678	5910
490	5690	5899
491	5699	5885
492	5711	5873
493	5724	5863
494	5732	5848
495	5743	5835
496	5765	5835
497	5776	5822
498	5790	5813
499	5810	5810
500	5819	5796
501	5826	5780
502	5836	5766
503	5843	5751
504	5851	5735
505	5858	5719
506	5868	5706
507	5875	5690
508	5882	5674
509	5888	5657
510	5899	5645
511	5906	5629
512	5914	5614
513	5921	5598
514	5932	5587
515	5939	5571
516	5947	5556
517	5954	5540
518	5963	5527
519	5971	5512
520	5979	5497
521	5994	5489
522	6008	5480
523	6016	5465
524	6024	5450
525	6032	5435
526	6044	5424
527	6052	5410
528	6065	5400
529	6080	5391
530	6094	5382
531	6107	5373
532	6117	5360
533	6132	5351
534	6146	5342
535	6163	5335
536	6176	5325
537	6191	5316
538	6206	5308
539	6236	5312
540	6270	5319
541	6286	5312
542	6299	5301
543	6313	5291
544	6329	5283
545	6343	5274
546	6356	5264
547	6366	5251
548	6375	5237
549	6387	5226
550	6404	5218
551	6415	5206
552	6426	5194
553	6434	5180
554	6445	5168
555	6464	5162
556	6478	5152
557	6493	5143
558	6504	5131
559	6533	5133
560	6553	5128
561	6596	5141
562	6604	5126
563	6638	5132
564	6657	5126
565	6674	5117
566	6686	5106
567	6697	5093
568	6712	5084
569	6729	5076
570	6741	5064
571	6749	5050
572	6759	5036
573	6769	5024
574	6777	5009
575	6802	5007
576	6823	5002
577	6839	4993
578	6858	4986
579	6877	4980
580	6893	4971
581	6904	4958
582	6916	4947
583	6928	4935
584	6937	4921
585	6947	4908
586	6963	4899
587	6974	4886
588	6987	4875
589	7000	4864
590	7011	4852
591	7022	4839
592	7036	4829
593	7065	4829
594	7079	4818
595	7094	4808
596	7108	4798
597	7123	4789
598	7130	4773
599	7141	4761
600	7148	4745
601	7157	4732
602	7164	4717
603	7176	4705
604	7186	4691
605	7193	4677
606	7203	4663
607	7211	4649
608	7221	4636
609	7229	4621
610	7239	4609
611	7245	4593
612	7253	4579
613	7260	4564
614	7270	4551
615	7277	4536
616	7287	4523
617	7306	4516
618	7315	4502
619	7321	4487
620	7330	4473
621	7337	4458
622	7345	4445
623	7353	4430
624	7361	4416
625	7368	4402
626	7379	4389
627	7386	4375
628	7395	4361
629	7403	4347
630	7410	4333
631	7418	4319
632	7427	4306
633	7437	4293
634	7445	4279
635	7451	4264
636	7459	4251
637	7466	4236
638	7474	4222
639	7483	4209
640	7496	4198
641	7531	4199
642	7563	4199
643	7572	4185
644	7578	4170
645	7586	4157
646	7592	4142
647	7599	4128
648	7609	4115
649	7621	4103
650	7627	4089
651	7636	4075
652	7642	4061
653	7649	4046
654	7656	4032
655	7662	4018
656	7670	4004
657	7678	3991
658	7687	3977
659	7695	3964
660	7706	3952
661	7714	3939
662	7723	3926
663	7731	3912
664	7738	3898
665	7744	3883
666	7754	3871
667	7762	3858
668	7769	3844
669	7775	3829
670	7787	3818
671	7793	3804
672	7802	3791
673	7809	3777
674	7819	3765
675	7830	3753
676	7836	3738
677	7844	3725
678	7850	3711
679	7857	3697
680	7864	3684
681	7872	3670
682	7886	3660
683	7899	3649
684	7915	3640
685	7971	3648
686	7984	3637
687	7997	3626
688	8018	3619
689	8031	3608
690	8040	3595
691	8057	3586
692	8069	3574
693	8080	3563
694	8091	3550
695	8101	3538
696	8110	3525
697	8120	3513
698	8128	3500
699	8137	3487
700	8146	3474
701	8155	3462
702	8162	3448
703	8171	3435
704	8178	3422
705	8188	3409
706	8194	3396
707	8203	3383
708	8212	3370
709	8220	3357
710	8226	3343
711	8235	3331
712	8244	3318
713	8251	3305
714	8257	3291
715	8267	3279
716	8274	3266
717	8282	3252
718	8289	3239
719	8299	3227
720	8307	3214
721	8317	3202
722	8325	3189
723	8343	3180
724	8351	3167
725	8358	3154
726	8366	3141
727	8373	3128
728	8382	3116
729	8388	3102
730	8398	3090
731	8406	3077
732	8416	3065
733	8423	3052
734	8431	3039
735	8438	3026
736	8445	3013
737	8452	3000
738	8460	2988
739	8470	2975
740	8479	2963
741	8485	2950
742	8493	2937
743	8502	2925
744	8513	2913
745	8522	2901
746	8539	2892
747	8571	2887
748	8583	2876
749	8595	2865
750	8606	2853
751	8613	2840
752	8626	2829
753	8633	2816
754	8640	2803
755	8649	2791
756	8656	2778
757	8664	2766
758	8671	2753
759	8680	2741
760	8688	2728
761	8696	2716
762	8703	2703
763	8711	2690
764	8719	2678
765	8732	2667
766	8740	2655
767	8750	2643
768	8758	2630
769	8765	2618
770	8774	2606
771	8783	2594
772	8794	2582
773	8800	2569
774	8808	2557
775	8815	2544
776	8823	2532
777	8829	2519
778	8839	2507
779	8846	2495
780	8861	2484
781	8867	2472
782	8876	2460
783	8883	2447
784	8891	2435
785	8898	2422
786	8905	2410
787	8915	2398
788	8922	2386
789	8930	2374
790	8941	2362
791	8960	2353
792	8974	2342
793	8985	2331
794	8993	2319
795	9005	2307
796	9013	2295
797	9028	2285
798	9037	2273
799	9045	2261
800	9054	2249
801	9061	2237
802	9070	2225
803	9076	2212
804	9085	2200
805	9092	2188
806	9100	2176
807	9106	2163
808	9117	2152
809	9125	2140
810	9133	2128
811	9142	2116
812	9150	2104
813	9158	2092
814	9167	2081
815	9183	2070
816	9190	2058
817	9199	2046
818	9206	2034
819	9214	2022
820	9220	2010
821	9229	1998
822	9239	1987
823	9247	1975
824	9253	1962
825	9263	1951
826	9271	1939
827	9279	1927
828	9286	1915
829	9295	1903
830	9301	1891
831	9309	1879
832	9315	1867
833	9323	1855
834	9348	1847
835	9357	1835
836	9366	1824
837	9378	1812
838	9386	1801
839	9394	1789
840	9400	1777
841	9412	1766
842	9420	1754
843	9427	1742
844	9435	1730
845	9442	1718
846	9448	1706
847	9458	1695
848	9465	1683
849	9477	1672
850	9487	1661
851	9494	1649
852	9510	1638
853	9518	1627
854	9524	1615
855	9533	1603
856	9539	1591
857	9546	1580
858	9554	1568
859	9566	1557
860	9575	1545
861	9585	1534
862	9641	1530
863	9650	1519
864	9660	1507
865	9669	1496
866	9675	1484
867	9686	1473
868	9692	1461
869	9718	1452
870	9728	1440
871	9746	1430
872	9752	1418
873	9760	1407
874	9767	1395
875	9775	1383
876	9784	1372
877	9801	1362
878	9811	1350
879	9818	1338
880	9826	1327
881	9833	1315
882	9842	1304
883	9848	1292
884	9857	1280
885	9864	1269
886	9871	1257
887	9879	1246
888	9886	1234
889	9896	1223
890	9905	1211
891	9910	1199
892	9922	1188
893	9928	1177
894	9937	1165
895	9944	1154
896	9955	1143
897	9960	1131
898	9968	1119
899	9976	1108
900	9988	1097
901	9995	1085
902	10003	1074
903	10011	1063
904	10022	1052
905	10035	1041
906	10044	1029
907	10054	1018
908	10065	1007
909	10075	996
910	10085	985
911	10092	973
912	10102	962
913	10110	951
914	10127	940
915	10138	929
916	10146	918
917	10153	906
918	10159	895
919	10167	884
920	10175	872
921	10184	861
922	10194	850
923	10200	839
924	10212	828
925	10221	816
926	10230	805
927	10239	794
928	10246	783
929	10253	771
930	10259	760
931	10270	749
932	10279	738
933	10287	726
934	10294	715
935	10307	704
936	10313	693
937	10321	682
938	10328	670
939	10336	659
940	10343	648
941	10350	637
942	10357	626
943	10364	614
944	10373	603
945	10386	592
946	10393	581
947	10406	570
948	10417	559
949	10426	548
950	10479	539
951	10488	528
952	10495	517
953	10508	506
954	10516	495
955	10523	484
956	10532	473
957	10539	462
958	10546	450
959	10553	439
960	10563	428
961	10572	417
962	10580	406
963	10587	395
964	10596	384
965	10603	373
966	10613	362
967	10620	351
968	10639	340
969	10648	329
970	10656	318
971	10663	307
972	10671	296
973	10679	285
974	10686	274
975	10693	262
976	10700	251
977	10711	240
978	10717	229
979	10726	218
980	10732	207
981	10739	196
982	10746	185
983	10752	174
984	10760	163
985	10770	152
986	10777	141
987	10786	131
988	10792	120
989	10798	109
990	10807	98
991	10813	87
992	10824	76
993	10836	65
994	10844	54
995	10854	43
996	10860	32
997	10869	21
998	10876	10
999	10884	0
